Costo Total;Proveedor;Modelo;Nivel Servicio;z
840391,5;2;0;0,959;1,64
2575910,4;0;1;0,995;1,64
2516415;1;1;1,000;1,64
594992,8;0;0;0,948;1,64
563690;1;0;0,941;1,64
2889536,5;2;1;1,000;1,64
840391,5;2;0;0,959;1,64
2575910,4;0;1;0,995;1,64
2516415;1;1;1,000;1,64
594992,8;0;0;0,948;1,64
2889536,5;2;1;1,000;1,64
2575910,4;0;1;0,995;1,64
563690;1;0;0,941;1,64
840391,5;2;0;0,959;1,64
594992,8;0;0;0,948;1,64
2516415;1;1;1,000;1,64
2889536,5;2;1;1;1,64
2575910,4;0;1;0,994937634;1,64
563690;1;0;0,941382923;1,64
840391,5;2;0;0,958761816;1,64
594992,8;0;0;0,947957735;1,64
2889536,5;2;1;1;1,64
563690;1;0;0,941382923;1,64
2516415;1;1;1;1,64
840391,5;2;0;0,958761816;1,64
2575910,4;0;1;0,994937634;1,64
594992,8;0;0;0,947957735;1,64
2889536,5;2;1;1;1,64
563690;1;0;0,941382923;1,64
2516415;1;1;1;1,64
840391,5;2;0;0,958761816;1,64
2575910,4;0;1;0,994937634;1,64
594992,8;0;0;0,947957735;1,64
2889536,5;2;1;1;1,64
2516415;1;1;1;1,64
563690;1;0;0,941382923;1,64
2575910,4;0;1;0,994937634;1,64
594992,8;0;0;0,947957735;1,64
840391,5;2;0;0,958761816;1,64
2889536,5;2;1;1;1,64
2516415;1;1;1;1,64
563690;1;0;0,941382923;1,64
2575910,4;0;1;0,994937634;1,64
840391,5;2;0;0,958761816;1,64
594992,8;0;0;0,947957735;1,64
2889536,5;2;1;1;1,64
2516415;1;1;1;1,64
563690;1;0;0,941382923;1,64
2575910,4;0;1;0,994937634;1,64
840391,5;2;0;0,958761816;1,64
594992,8;0;0;0,947957735;1,64
2889536,5;2;1;1;1,64
2516415;1;1;1;1,64
563690;1;0;0,941382923;1,64
2575910,4;0;1;0,994937634;1,64
594992,8;0;0;0,947957735;1,64
840391,5;2;0;0,958761816;1,64
2889536,5;2;1;1;1,64
2516415;1;1;1;1,64
563690;1;0;0,941382923;1,64
840391,5;2;0;0,958761816;1,64
2575910,4;0;1;0,994937634;1,64
594992,8;0;0;0,947957735;1,64
2889536,5;2;1;1;1,64
2516415;1;1;1;1,64
563690;1;0;0,941382923;1,64
840391,5;2;0;0,958761816;1,64
2575910,4;0;1;0,994937634;1,64
594992,8;0;0;0,947957735;1,64
2889536,5;2;1;1;1,64
2516415;1;1;1;1,64
563690;1;0;0,941382923;1,64
840391,5;2;0;0,958761816;1,64
2575910,4;0;1;0,994937634;1,64
594992,8;0;0;0,947957735;1,64
2889536,5;2;1;1;1,64
563690;1;0;0,941382923;1,64
2516415;1;1;1;1,64
840391,5;2;0;0,958761816;1,64
2575910,4;0;1;0,994937634;1,64
594992,8;0;0;0,947957735;1,64
2516415;1;1;1;1,64
2889536,5;2;1;1;1,64
563690;1;0;0,941382923;1,64
840391,5;2;0;0,958761816;1,64
594992,8;0;0;0,947957735;1,64
2575910,4;0;1;0,994937634;1,64
2516415;1;1;1;1,64
563690;1;0;0,941382923;1,64
840391,5;2;0;0,958761816;1,64
2889536,5;2;1;1;1,64
594992,8;0;0;0,947957735;1,64
2575910,4;0;1;0,994937634;1,64
2516415;1;1;1;1,64
563690;1;0;0,941382923;1,64
2889536,5;2;1;1;1,64
840391,5;2;0;0,958761816;1,64
594992,8;0;0;0,947957735;1,64
2575910,4;0;1;0,994937634;1,64
2516415;1;1;1;1,64
563690;1;0;0,941382923;1,64
840391,5;2;0;0,958761816;1,64
2889536,5;2;1;1;1,64
2516415;1;1;1;1,64
594992,8;0;0;0,947957735;1,64
563690;1;0;0,941382923;1,64
840391,5;2;0;0,958761816;1,64
2889536,5;2;1;1;1,64
2575910,4;0;1;0,994937634;1,64
2516415;1;1;1;1,64
594992,8;0;0;0,947957735;1,64
563690;1;0;0,941382923;1,64
2889536,5;2;1;1;1,64
2575910,4;0;1;0,994937634;1,64
840391,5;2;0;0,958761816;1,64
2516415;1;1;1;1,64
594992,8;0;0;0,947957735;1,64
563690;1;0;0,941382923;1,64
2575910,4;0;1;0,994937634;1,64
840391,5;2;0;0,958761816;1,64
2889536,5;2;1;1;1,64
2516415;1;1;1;1,64
594992,8;0;0;0,947957735;1,64
563690;1;0;0,941382923;1,64
2575910,4;0;1;0,994937634;1,64
840391,5;2;0;0,958761816;1,64
2889536,5;2;1;1;1,64
2516415;1;1;1;1,64
594992,8;0;0;0,947957735;1,64
563690;1;0;0,941382923;1,64
2575910,4;0;1;0,994937634;1,64
840391,5;2;0;0,958761816;1,64
2889536,5;2;1;1;1,64
2516415;1;1;1;1,64
594992,8;0;0;0,947957735;1,64
563690;1;0;0,941382923;1,64
2575910,4;0;1;0,994937634;1,64
840391,5;2;0;0,958761816;1,64
2889536,5;2;1;1;1,64
2516415;1;1;1;1,64
594992,8;0;0;0,947957735;1,64
563690;1;0;0,941382923;1,64
2575910,4;0;1;0,994937634;1,64
840391,5;2;0;0,958761816;1,64
2889536,5;2;1;1;1,64
2516415;1;1;1;1,64
594992,8;0;0;0,947957735;1,64
563690;1;0;0,941382923;1,64
2575910,4;0;1;0,994937634;1,64
840391,5;2;0;0,958761816;1,64
2889536,5;2;1;1;1,64
2516415;1;1;1;1,64
594992,8;0;0;0,947957735;1,64
563690;1;0;0,941382923;1,64
2575910,4;0;1;0,994937634;1,64
840391,5;2;0;0,958761816;1,64
2889536,5;2;1;1;1,64
2516415;1;1;1;1,64
594992,8;0;0;0,947957735;1,64
563690;1;0;0,941382923;1,64
2575910,4;0;1;0,994937634;1,64
840391,5;2;0;0,958761816;1,64
594992,8;0;0;0,947957735;1,64
2516415;1;1;1;1,64
563690;1;0;0,941382923;1,64
2889536,5;2;1;1;1,64
2575910,4;0;1;0,994937634;1,64
840391,5;2;0;0,958761816;1,64
563690;1;0;0,941382923;1,64
594992,8;0;0;0,947957735;1,64
2889536,5;2;1;1;1,64
2516415;1;1;1;1,64
2575910,4;0;1;0,994937634;1,64
840391,5;2;0;0,958761816;1,64
563690;1;0;0,941382923;1,64
594992,8;0;0;0,947957735;1,64
2889536,5;2;1;1;1,64
2516415;1;1;1;1,64
2575910,4;0;1;0,994937634;1,64
840391,5;2;0;0,958761816;1,64
563690;1;0;0,941382923;1,64
594992,8;0;0;0,947957735;1,64
2889536,5;2;1;1;1,64
2575910,4;0;1;0,994937634;1,64
2516415;1;1;1;1,64
840391,5;2;0;0,958761816;1,64
563690;1;0;0,941382923;1,64
594992,8;0;0;0,947957735;1,64
2889536,5;2;1;1;1,64
2575910,4;0;1;0,994937634;1,64
2516415;1;1;1;1,64
840391,5;2;0;0,958761816;1,64
563690;1;0;0,941382923;1,64
594992,8;0;0;0,947957735;1,64
2889536,5;2;1;1;1,64
2575910,4;0;1;0,994937634;1,64
2516415;1;1;1;1,64
563690;1;0;0,941382923;1,64
840391,5;2;0;0,958761816;1,64
594992,8;0;0;0,947957735;1,64
2889536,5;2;1;1;1,64
2575910,4;0;1;0,994937634;1,64
2516415;1;1;1;1,64
563690;1;0;0,941382923;1,64
840391,5;2;0;0,958761816;1,64
2889536,5;2;1;1;1,64
594992,8;0;0;0,947957735;1,64
2575910,4;0;1;0,994937634;1,64
2516415;1;1;1;1,64
2889536,5;2;1;1;1,64
563690;1;0;0,941382923;1,64
594992,8;0;0;0,947957735;1,64
840391,5;2;0;0,958761816;1,64
2575910,4;0;1;0,994937634;1,64
2516415;1;1;1;1,64
840391,5;2;0;0,958761816;1,64
594992,8;0;0;0,947957735;1,64
2575910,4;0;1;0,994937634;1,64
2889536,5;2;1;1;1,64
563690;1;0;0,941382923;1,64
2516415;1;1;1;1,64
840391,5;2;0;0,958761816;1,64
594992,8;0;0;0,947957735;1,64
2575910,4;0;1;0,994937634;1,64
2889536,5;2;1;1;1,64
563690;1;0;0,941382923;1,64
2516415;1;1;1;1,64
840391,5;2;0;0,958761816;1,64
594992,8;0;0;0,947957735;1,64
2575910,4;0;1;0,994937634;1,64
2516415;1;1;1;1,64
2889536,5;2;1;1;1,64
563690;1;0;0,941382923;1,64
840391,5;2;0;0,958761816;1,64
594992,8;0;0;0,947957735;1,64
2575910,4;0;1;0,994937634;1,64
2516415;1;1;1;1,64
2889536,5;2;1;1;1,64
563690;1;0;0,941382923;1,64
840391,5;2;0;0,958761816;1,64
594992,8;0;0;0,947957735;1,64
2575910,4;0;1;0,994937634;1,64
2516415;1;1;1;1,64
2889536,5;2;1;1;1,64
563690;1;0;0,941382923;1,64
594992,8;0;0;0,947957735;1,64
840391,5;2;0;0,958761816;1,64
2575910,4;0;1;0,994937634;1,64
2516415;1;1;1;1,64
563690;1;0;0,941382923;1,64
2889536,5;2;1;1;1,64
594992,8;0;0;0,947957735;1,64
840391,5;2;0;0,958761816;1,64
2575910,4;0;1;0,994937634;1,64
2516415;1;1;1;1,64
563690;1;0;0,941382923;1,64
2889536,5;2;1;1;1,64
594992,8;0;0;0,947957735;1,64
840391,5;2;0;0,958761816;1,64
2575910,4;0;1;0,994937634;1,64
2516415;1;1;1;1,64
563690;1;0;0,941382923;1,64
2889536,5;2;1;1;1,64
594992,8;0;0;0,947957735;1,64
840391,5;2;0;0,958761816;1,64
2575910,4;0;1;0,994937634;1,64
2516415;1;1;1;1,64
563690;1;0;0,941382923;1,64
2889536,5;2;1;1;1,64
594992,8;0;0;0,947957735;1,64
840391,5;2;0;0,958761816;1,64
2516415;1;1;1;1,64
2575910,4;0;1;0,994937634;1,64
2889536,5;2;1;1;1,64
563690;1;0;0,941382923;1,64
594992,8;0;0;0,947957735;1,64
840391,5;2;0;0,958761816;1,64
2516415;1;1;1;1,64
2575910,4;0;1;0,994937634;1,64
2889536,5;2;1;1;1,64
840391,5;2;0;0,958761816;1,64
563690;1;0;0,941382923;1,64
594992,8;0;0;0,947957735;1,64
2516415;1;1;1;1,64
2575910,4;0;1;0,994937634;1,64
2889536,5;2;1;1;1,64
563690;1;0;0,941382923;1,64
840391,5;2;0;0,958761816;1,64
594992,8;0;0;0,947957735;1,64
2889536,5;2;1;1;1,64
2516415;1;1;1;1,64
2575910,4;0;1;0,994937634;1,64
563690;1;0;0,941382923;1,64
840391,5;2;0;0,958761816;1,64
594992,8;0;0;0,947957735;1,64
2889536,5;2;1;1;1,64
2516415;1;1;1;1,64
2575910,4;0;1;0,994937634;1,64
563690;1;0;0,941382923;1,64
840391,5;2;0;0,958761816;1,64
594992,8;0;0;0,947957735;1,64
2889536,5;2;1;1;1,64
2516415;1;1;1;1,64
2575910,4;0;1;0,994937634;1,64
563690;1;0;0,941382923;1,64
840391,5;2;0;0,958761816;1,64
594992,8;0;0;0,947957735;1,64
2889536,5;2;1;1;1,64
2516415;1;1;1;1,64
2575910,4;0;1;0,994937634;1,64
563690;1;0;0,941382923;1,64
594992,8;0;0;0,947957735;1,64
840391,5;2;0;0,958761816;1,64
2516415;1;1;1;1,64
2575910,4;0;1;0,994937634;1,64
2889536,5;2;1;1;1,64
563690;1;0;0,941382923;1,64
594992,8;0;0;0,947957735;1,64
840391,5;2;0;0,958761816;1,64
2889536,5;2;1;1;1,64
2516415;1;1;1;1,64
2575910,4;0;1;0,994937634;1,64
563690;1;0;0,941382923;1,64
594992,8;0;0;0,947957735;1,64
840391,5;2;0;0,958761816;1,64
2516415;1;1;1;1,64
2889536,5;2;1;1;1,64
2575910,4;0;1;0,994937634;1,64
563690;1;0;0,941382923;1,64
594992,8;0;0;0,947957735;1,64
840391,5;2;0;0,958761816;1,64
2516415;1;1;1;1,64
2889536,5;2;1;1;1,64
2575910,4;0;1;0,994937634;1,64
563690;1;0;0,941382923;1,64
594992,8;0;0;0,947957735;1,64
840391,5;2;0;0,958761816;1,64
2516415;1;1;1;1,64
2889536,5;2;1;1;1,64
563690;1;0;0,941382923;1,64
2575910,4;0;1;0,994937634;1,64
594992,8;0;0;0,947957735;1,64
840391,5;2;0;0,958761816;1,64
2516415;1;1;1;1,64
563690;1;0;0,941382923;1,64
2889536,5;2;1;1;1,64
2575910,4;0;1;0,994937634;1,64
594992,8;0;0;0,947957735;1,64
840391,5;2;0;0,958761816;1,64
2516415;1;1;1;1,64
2575910,4;0;1;0,994937634;1,64
563690;1;0;0,941382923;1,64
2889536,5;2;1;1;1,64
594992,8;0;0;0,947957735;1,64
840391,5;2;0;0,958761816;1,64
2516415;1;1;1;1,64
2575910,4;0;1;0,994937634;1,64
563690;1;0;0,941382923;1,64
2889536,5;2;1;1;1,64
594992,8;0;0;0,947957735;1,64
840391,5;2;0;0,958761816;1,64
2516415;1;1;1;1,64
2575910,4;0;1;0,994937634;1,64
563690;1;0;0,941382923;1,64
2889536,5;2;1;1;1,64
594992,8;0;0;0,947957735;1,64
840391,5;2;0;0,958761816;1,64
2516415;1;1;1;1,64
2575910,4;0;1;0,994937634;1,64
563690;1;0;0,941382923;1,64
2889536,5;2;1;1;1,64
594992,8;0;0;0,947957735;1,64
840391,5;2;0;0,958761816;1,64
2516415;1;1;1;1,64
2575910,4;0;1;0,994937634;1,64
563690;1;0;0,941382923;1,64
2889536,5;2;1;1;1,64
594992,8;0;0;0,947957735;1,64
840391,5;2;0;0,958761816;1,64
2516415;1;1;1;1,64
2575910,4;0;1;0,994937634;1,64
563690;1;0;0,941382923;1,64
2889536,5;2;1;1;1,64
594992,8;0;0;0,947957735;1,64
840391,5;2;0;0,958761816;1,64
2516415;1;1;1;1,64
2575910,4;0;1;0,994937634;1,64
563690;1;0;0,941382923;1,64
2889536,5;2;1;1;1,64
594992,8;0;0;0,947957735;1,64
840391,5;2;0;0,958761816;1,64
2516415;1;1;1;1,64
563690;1;0;0,941382923;1,64
2575910,4;0;1;0,994937634;1,64
2889536,5;2;1;1;1,64
594992,8;0;0;0,947957735;1,64
840391,5;2;0;0,958761816;1,64
2516415;1;1;1;1,64
2889536,5;2;1;1;1,64
563690;1;0;0,941382923;1,64
594992,8;0;0;0,947957735;1,64
2575910,4;0;1;0,994937634;1,64
840391,5;2;0;0,958761816;1,64
563690;1;0;0,941382923;1,64
840391,5;2;0;0,958761816;1,64
594992,8;0;0;0,947957735;1,64
2575910,4;0;1;0,994937634;1,64
2889536,5;2;1;1;1,64
2516415;1;1;1;1,64
563690;1;0;0,941382923;1,64
840391,5;2;0;0,958761816;1,64
594992,8;0;0;0,947957735;1,64
2516415;1;1;1;1,64
2575910,4;0;1;0,994937634;1,64
2889536,5;2;1;1;1,64
563690;1;0;0,941382923;1,64
840391,5;2;0;0,958761816;1,64
594992,8;0;0;0,947957735;1,64
2889536,5;2;1;1;1,64
2516415;1;1;1;1,64
2575910,4;0;1;0,994937634;1,64
563690;1;0;0,941382923;1,64
840391,5;2;0;0,958761816;1,64
2889536,5;2;1;1;1,64
594992,8;0;0;0,947957735;1,64
2516415;1;1;1;1,64
563690;1;0;0,941382923;1,64
2575910,4;0;1;0,994937634;1,64
840391,5;2;0;0,958761816;1,64
2889536,5;2;1;1;1,64
2516415;1;1;1;1,64
2575910,4;0;1;0,994937634;1,64
2889536,5;2;1;1;1,64
2516415;1;1;1;1,64
2575910,4;0;1;0,994937634;1,64
2575910,4;0;1;0,994937634;1,64
